t,x,y,z
0.0,-0.010019652298756837,1.0019519021594168,0.0019440031280490316
0.01,-0.020077235985901113,1.0038072237523241,0.0037799239980826774
0.02,-0.03017073006550052,1.005565401884962,0.005513406341205012
0.03,-0.04029816300525884,1.0072258925171311,0.007149808424178735
0.04,-0.050457610139335356,1.0087881700179153,0.008694217164948503
0.05,-0.06064719120450965,1.0102517267458397,0.010151461556035893
0.06,-0.07086506800318346,1.0116160726522108,0.011526125430493021
0.07,-0.08110944218703675,1.0128807349064468,0.012822559603234243
0.08,-0.09137855315546262,1.0140452575422658,0.014044893418811833
0.09,-0.10167067606319698,1.0151092011236507,0.01519704573505417
0.1,-0.11198411993183505,1.0160721424295638,0.01628273537043607
0.11,-0.12231722586018752,1.0169336741564374,0.017305491041593856
0.12,-0.13266836532867746,1.0176934046375075,0.018268660816025982
0.13,-0.14303593859321334,1.0183509575781067,0.01917542110372797
0.14,-0.15341837316419688,1.0189059718060762,0.02002878521029247
0.15,-0.16381412236653478,1.0193581010364943,0.020831611472856632
0.16,-0.17422166397672526,1.0197070136499584,0.021586610999195014
0.17,-0.1846394989332791,1.0199523924836977,0.02229635502923287
0.18,-0.1950661501169174,1.0200939346348221,0.022963281937287697
0.19,-0.2055001611971582,1.020131351275055,0.02358970389243309
0.2,-0.2159400955420691,1.02006436747632,0.024177813193514655
0.21,-0.22638453518811658,1.0198927220465899,0.02472968829453
0.22,-0.23683207986719074,1.0196161673754307,0.025247299535310772
0.23,-0.24728134608802485,1.0192344692887003,0.0257325145917116
0.24,-0.25773096626936126,1.0187474069118907,0.02618710365881632
0.25,-0.268179587922343,1.018154772541626,0.026612744380013483
0.26,-0.2786258728797303,1.01745637152485,0.027011026534168956
0.27,-0.2890684965696568,1.0166520221452633,0.02738345649253124
0.28,-0.29950614733174846,1.01574155551659,0.027731461456443278
0.29,-0.3099375257735331,1.0147248154822714,0.02805639348640112
0.3,-0.32036134416516643,1.0136016585212086,0.028359533332493213
0.31,-0.3307763258705959,1.012371953659192,0.028642094075773155
0.32,-0.3411812048133721,1.0110355823856716,0.028905224589661386
0.33,-0.3515747249754036,1.0095924385755426,0.029150012830036952
0.34,-0.3619556399270324,1.0080424284156335,0.029377488962267315
0.35000000000000003,-0.3723227123868844,1.0063854703356006,0.029588628333031435
0.36,-0.3826747138100233,1.0046214949429475,0.029784354294417635
0.37,-0.393010424003006,1.0027504449619016,0.029965540887422384
0.38,-0.4033286307645058,1.0007722751758914,0.030133015391637784
0.39,-0.41362812955023215,0.9986869523733848,0.030287560747593666
0.4,-0.42390772316093683,0.9964944552968557,0.030429917857913637
0.41000000000000003,-0.4341662214523552,0.9941947745946612,0.030560787773152683
0.42,-0.4444024410659847,0.991787912775621,0.030680833767905973
0.43,-0.45461520517965665,0.9892738841660998,0.03079068331251388
0.44,-0.46480334327690703,0.9866527148694078,0.030890929945436088
0.45,-0.4749656909341992,0.9839244427273355,0.030982135051127513
0.46,-0.4851010896250976,0.9810891172836588,0.031064829548019847
0.47000000000000003,-0.49520838654053445,0.9781467997494482,0.031139515490994554
0.48,-0.5052864344243523,0.9750975629700311,0.03120666759252525
0.49,-0.5153340914233456,0.9719414913934612,0.031266734666469384
0.5,-0.5253502209510612,0.9686786810403557,0.031320140998300335
0.51,-0.535333691564652,0.9653092394749707,0.03136728764539111
0.52,-0.5452833768541163,0.9618332857773881,0.03140855367078923
0.53,-0.5551981553432811,0.9582509505166963,0.031444297313758945
0.54,-0.5650769104019256,0.9545623757250524,0.031474857100210966
0.55,-0.5749185301684646,0.9507677148725188,0.031500552895991185
0.56,-0.5847219074826429,0.9468671328425723,0.031521686905858326
0.5700000000000001,-0.5944859398277171,0.9428608059081909,0.03153854462084518
0.58,-0.604209529281628,0.9387489217084253,0.03155139571656929
0.59,-0.6138915824766871,0.9345316792253697,0.03156049490493621
0.6,-0.62353101056733,0.9302092887614494,0.0315660827415612
0.61,-0.6331267292055047,0.9257819719169462,0.03156838639112367
0.62,-0.6426776585232891,0.9212499615676906,0.0315676203527622
0.63,-0.6521827231223474,0.9166135018428465,0.03156398714751634
0.64,-0.6616408520698583,0.9118728481027263,0.03155767796972484
0.65,-0.6710509789005619,0.90702826691657,0.03154887330419742
0.66,-0.6804120416245916,0.902080036040231,0.03153774351088952
0.67,-0.6897229827407744,0.8970284443937108,0.03152444937872529
0.68,-0.6989827492550948,0.8918737920384893,0.031509142650134526
0.6900000000000001,-0.708190292704037,0.886616390154601,0.031491966517792666
0.7000000000000001,-0.7173445691825296,0.8812565610174079,0.031473056094980606
0.71,-0.7264445393762351,0.8757946379740238,0.03145253886091183
0.72,-0.7354891685979337,0.8702309654193484,0.03143053508230823
0.73,-0.7444774268277686,0.8645658987716692,0.03140715821244332
0.74,-0.7534082887571271,0.8587998044477932,0.03138251526881145
0.75,-0.7622807338359447,0.8529330598376728,0.03135670719052475
0.76,-0.7710937463232306,0.8469660532784902,0.03132982917648486
0.77,-0.7798463153406199,0.8408991840281701,0.031301971005324954
0.78,-0.7885374349287712,0.8347328622382879,0.03127321733806808
0.79,-0.7971661041064331,0.8284675089263459,0.031243648004400777
0.8,-0.8057313269320155,0.8221035559473902,0.03121333827341623
0.81,-0.8142321125675064,0.8156414459649425,0.0311823591096385
0.8200000000000001,-0.8226674753445838,0.8090816324212232,0.031150777415098814
0.8300000000000001,-0.8310364348327817,0.8024245795066418,0.031118656258196185
0.84,-0.839338015909571,0.7956707621285349,0.031086055090037777
0.85,-0.8475712488322291,0.788820665879131,0.03105302994891949
0.86,-0.8557351693113722,0.7818747870027233,0.031019633653573738
0.87,-0.8638288185860344,0.7748336323620322,0.030985915985779714
0.88,-0.8718512435001821,0.767697719403743,0.030951923862901215
0.89,-0.8798014965805558,0.7604675761232007,0.030917701500888323
0.9,-0.8876786361157404,0.7531437410282493,0.030883290568251832
0.91,-0.8954817262363647,0.7457267631022015,0.030848730331493397
0.92,-0.903209836996341,0.7382172017659259,0.030814057792449487
0.93,-0.9108620444550554,0.7306156268390404,0.030779307817983766
0.9400000000000001,-0.9184374307604252,0.7229226185002011,0.030744513262440095
0.9500000000000001,-0.9259350842327463,0.7151387672464757,0.030709705083247066
0.96,-0.9333540994492513,0.707264673851793,0.030674912450044698
0.97,-0.940693577329309,0.6993009493244594,0.03064016284768474
0.98,-0.9479526252201944,0.6912482148637346,0.030605482173437684
0.99,-0.9551303569833645,0.6831071018154593,0.030570894828722214
1.0,-0.9622258930811768,0.6748782516267283,0.030536423805656316
1.01,-0.9692383606639905,0.6665623157996025,0.030502090768713564
1.02,-0.976166893657593,0.6581599558438544,0.030467916131753182
1.03,-0.9830106328508974,0.6496718432287439,0.030433919130678347
1.04,-0.9897687259838588,0.6410986593338166,0.03040011789196368
1.05,-0.9964403278355587,0.6324410953987241,0.03036652949728023
1.06,-1.003024600312411,0.623699852472061,0.030333170044433946
1.07,-1.0095207125364434,0.6148756413592159,0.030300054704822298
1.08,-1.0159278409336086,0.6059691825692346,0.030267197777602693
1.09,-1.0222451693220875,0.5969812062606925,0.03023461274075594
1.1,-1.0284718890005413,0.5879124521865751,0.030202312299218253
1.11,-1.0346071988362737,0.5787636696381651,0.030170308430245884
1.12,-1.0406503053532683,0.5695356173879356,0.03013861242616767
1.1300000000000001,-1.0466004228200652,0.5602290636314479,0.030107234934672322
1.1400000000000001,-1.0524567733374428,0.5508447859282547,0.03007618599676941
1.1500000000000001,-1.0582185869258713,0.5413835711418086,0.030045475082555305
1.16,-1.0638851016127089,0.5318462153783752,0.030015111124908362
1.17,-1.0694555635191074,0.5222335239249538,0.02998510255123066
1.18,-1.0749292269466022,0.5125463111862045,0.02995545731334734
1.19,-1.0803053544633554,0.5027854006203842,0.02992618291566833
1.2,-1.085583216990027,0.49295162467429327,0.029897286441711662
1.21,-1.0907620938852487,0.48304582471723356,0.02986877457908193
1.22,-1.0958412730306737,0.47306885097398177,0.02984065364299235
1.23,-1.1008200509155806,0.4630215624567786,0.029812929598414
1.24,-1.105697732721006,0.4529048268963376,0.02978560808093113
1.25,-1.110473632403387,0.44271952067187614,0.02975869441637698
1.26,-1.1151470727776864,0.4324665287401715,0.029732193639320524
1.27,-1.1197173855999862,0.42214674456364565,0.029706110510470507
1.28,-1.1241839116495238,0.4117610700374819,0.029680449533059403
1.29,-1.1285460008101542,0.4013104154157774,0.029655214968266494
1.3,-1.1328030121512198,0.3907956992367353,0.029630410849735833
1.31,-1.1369543140078056,0.3802178482469007,0.02960604099724175
1.32,-1.140999284060367,0.3695777973244446,0.029582109029551565
1.33,-1.14493730941371,0.35887648940150074,0.02955861837653234
1.34,-1.1487677866753057,0.3481148753855591,0.02953557229054584
1.35,-1.1524901220329271,0.33729391407992193,0.02951297385717338
1.36,-1.156103731331589,0.32641457210322694,0.029490826005309764
1.37,-1.1596080401497753,0.31547782380804235,0.029469131516663402
1.3800000000000001,-1.1630024838749413,0.3044846511985398,0.029447893034697428
1.3900000000000001,-1.1662865077782745,0.2934360438472504,0.029427113073044738
1.4000000000000001,-1.1694595670886994,0.28233299881090945,0.029406794023427888
1.41,-1.1725211270661138,0.2711765205453956,0.029386938163113073
1.42,-1.1754706630738418,0.2599676208197709,0.029367547661925644
1.43,-1.1783076606502918,0.248707318629427,0.02934862458885307
1.44,-1.1810316155798037,0.23739664010834471,0.029330170918259738
1.45,-1.1836420339626765,0.22603661844047232,0.02931218853573651
1.46,-1.186138432284361,0.2146282937702301,0.029294679243606715
1.47,-1.1885203374838076,0.20317271311214696,0.029277644766108862
1.48,-1.1907872870209544,0.1916709302596365,0.029261086754275273
1.49,-1.1929388289433485,0.18012400569291903,0.02924500679052462
1.5,-1.194974521951886,0.168533006486097,0.02922940639298534
1.51,-1.1968939354656596,0.1568990062133906,0.02921428701956593
1.52,-1.1986966496859053,0.145223084854541,0.02919965007178703
1.53,-1.2003822556590351,0.13350632869938894,0.029185496898389507
1.54,-1.2019503553387472,0.12174983025163556,0.0291718287987318
1.55,-1.2034005616472019,0.10995468813179377,0.029158647025988946
1.56,-1.2047324985352548,0.09812200697933755,0.02914595279016513
1.57,-1.2059458010417365,0.08625289735405724,0.029133747260930706
1.58,-1.2070401153517696,0.07434847563662868,0.029122031570294117
1.59,-1.2080150988541125,0.062409863928404495,0.029110806815118448
1.6,-1.2088704201975233,0.050438189950435586,0.029100074059491766
1.61,-1.2096057593461316,0.038434586941731214,0.029089834336959875
1.62,-1.210220807633812,0.02640019355676614,0.029080088652629565
1.6300000000000001,-1.210715267817548,0.014336153762243328,0.029070837985149943
1.6400000000000001,-1.2110888541297808,0.00224361673312087,0.029062083288579007
1.6500000000000001,-1.2113412923297318,-0.009876263252088142,0.02905382549414215
1.6600000000000001,-1.2114723197536907,-0.0220223269167339,0.02904606551188888
1.67,-1.211481685364264,-0.03419341009215742,0.029038804232253707
1.68,-1.2113691497985724,-0.04638834382451827,0.029032042527526655
1.69,-1.211134485415391,-0.058605954482313344,0.029025781253238726
1.7,-1.210777476341225,-0.07084506386457741,0.029020021249467096
1.71,-1.2102979185153115,-0.0831044893097562,0.02901476334206471
1.72,-1.2096956197335427,-0.09538304380524244,0.029010008343818488
1.73,-1.2089703996913,-0.10767953609756552,0.029005757055540295
1.74,-1.2081220900251948,-0.11999277080322494,0.029002010267094338
1.75,-1.207150534353708,-0.1323215485201581,0.02899876875836464
1.76,-1.206055588316719,-0.14466466593983235,0.028996033300165848
1.77,-1.2048371196139225,-0.15702091595995174,0.02899380465510055
1.78,-1.2034950080421214,-0.1693890877977682,0.028992083578365992
1.79,-1.202029145531392,-0.18176796710398735,0.02899087081851293
1.8,-1.200439436180115,-0.19415633607725855,0.028990167118159237
1.81,-1.1987257962888642,-0.2065529735792393,0.028989973214660604
1.82,-1.196888154393151,-0.2189566552502233,0.02899028984074065
1.83,-1.1949264512950135,-0.23136615362532217,0.0289911177250825
1.84,-1.1928406400934464,-0.24378023825119016,0.028992457592883856
1.85,-1.1906306862136693,-0.2561976758032811,0.02899431016637736
1.86,-1.1882965674352222,-0.2686172302036276,0.028996676165318026
1.87,-1.185838273918886,-0.281037662739131,0.028999556307439354
1.8800000000000001,-1.183255808232423,-0.29345773218035215,0.029002951308879595
1.8900000000000001,-1.180549185375129,-0.30587619490079127,0.02900686188457964
1.9000000000000001,-1.1777184328011976,-0.31829180499664683,0.02901128874865383
1.9100000000000001,-1.1747635904418832,-0.33070331440704176,0.029016232614734933
1.92,-1.1716847107264678,-0.3431094730347064,0.02902169419629443
1.93,-1.1684818586020187,-0.3555090288671069,0.0290276742069392
1.94,-1.165155111551936,-0.36790072809800767,0.029034173360685627
1.95,-1.1617045596132864,-0.3802833152494571,0.029041192372212008
1.96,-1.1581303053929153,-0.3926555332941843,0.02904873195709023
1.97,-1.1544324640823374,-0.405016123778397,0.029056792831997448
1.98,-1.1506111634713978,-0.41736382694496726,0.029065375714908564
1.99,-1.1466665439607018,-0.42969738185699485,0.02907448132527022
2.0,-1.142598758572809,-0.44201552652173626,0.029084110384156932
2.0100000000000002,-1.1384079729621872,-0.4543169980148876,0.02909426361441001
2.02,-1.134094365423924,-0.4666005326052097,0.029104941740759806
2.0300000000000002,-1.12965812690119,-0.4788648658794834,0.029116145489931824
2.04,-1.1250994609914549,-0.49110873286778445,0.029127875590737186
2.05,-1.1204185839514456,-0.5033308681690637,0.0291401327741479
2.06,-1.1156157247008522,-0.5155300060770234,0.02915291777335735
2.07,-1.110691124824772,-0.5277048807062753,0.029166231323826373
2.08,-1.1056450385748902,-0.5398542261187703,0.0291800741633153
2.09,-1.100477732869398,-0.5519767764504859,0.02919444703190229
2.1,-1.09518948729164,-0.5640712660383608,0.02920935067198825
2.11,-1.089780594087492,-0.576136429547463,0.029224785828288562
2.12,-1.0842513581614672,-0.5881710020983811,0.02924075324781199
2.13,-1.0786020970715446,-0.6001737193948237,0.02925725367982685
2.14,-1.072833141022722,-0.6121433178514172,0.029274287875814754
2.15,-1.066944832859289,-0.6240785347216884,0.029291856589412073
2.16,-1.0609375280558182,-0.6359781082262191,0.029309960576339278
2.17,-1.0548115947068737,-0.647840777680961,0.029328600594318337
